Name	Group	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
Actinobacteria	Bacteria	3993171	190091	8756255	1181708	488278	1308126	43976
Apicomplexa	Others	0	3162	0	0	0	0	0
Arthropoda	Arthropods	382339	1327234	425752	1379104	573770	563000	363822
Ascomycota	Fungi	1	0	3	19122	4728	55680	0
Bacteroidetes	Bacteria	15988	0	14072	2876	1956	2764	1618
Basidiomycota	Fungi	0	8072	0	102	0	4	0
Chordata	Others	0	38206	74	0	0	0	288
Ciliophora	Others	33	380	12	8	0	0	17
Cossaviricota	Viruses	13630	1279360	0	0	0	5760	13722
Firmicutes	Bacteria	3845046	1337552	7436311	365158	98649	324016	103486
Microsporidia	Fungi	217877	0	306037	7589	1452	0	1662
Mucoromycota	Fungi	4	8	2	0	0	0	0
Nematoda	Others	1066	257	1555	151	227	132	0
Oomycota	Others	0	2	0	0	0	0	0
Proteobacteria	Bacteria	5217868	92045	9964749	750200	419252	582805	77024
Streptophyta	Plants	264092	908	20012	21234	5625	38771	4181
Uroviricota	Viruses	61378	0	36184	2264	0	0	1024
